Computed a variance of 0.210820
=====
Starting experiment.
    learning_rate : 0.1
    |D|           : 5000
    epoch_patience: 100
    results_file  : results.csv
    models_file   : models.csv
=====
            
epoch=228, mse_train=836108977.811388, mse_validation=338458311.773087
epoch=229, mse_train=835763467.967623, mse_validation=338300081.482428
epoch=230, mse_train=835419488.405574, mse_validation=338142548.875317
epoch=231, mse_train=835077031.727219, mse_validation=337985710.591816
epoch=232, mse_train=834736090.572937, mse_validation=337829563.289398
epoch=233, mse_train=834396657.621321, mse_validation=337674103.642846
epoch=234, mse_train=834058725.588920, mse_validation=337519328.344154
epoch=235, mse_train=833722287.230061, mse_validation=337365234.102439
epoch=236, mse_train=833387335.336615, mse_validation=337211817.643828
epoch=237, mse_train=833053862.737797, mse_validation=337059075.711381
epoch=238, mse_train=832721862.299951, mse_validation=336907005.064981
epoch=239, mse_train=832391326.926337, mse_validation=336755602.481251
epoch=240, mse_train=832062249.556944, mse_validation=336604864.753452
epoch=241, mse_train=831734623.168248, mse_validation=336454788.691394
epoch=242, mse_train=831408440.773046, mse_validation=336305371.121343
epoch=243, mse_train=831083695.420224, mse_validation=336156608.885925
epoch=244, mse_train=830760380.194568, mse_validation=336008498.844042
epoch=245, mse_train=830438488.216566, mse_validation=335861037.870772
epoch=246, mse_train=830118012.642186, mse_validation=335714222.857285
epoch=247, mse_train=829798946.662714, mse_validation=335568050.710755
epoch=248, mse_train=829481283.504527, mse_validation=335422518.354259
epoch=249, mse_train=829165016.428900, mse_validation=335277622.726702
epoch=250, mse_train=828850138.731834, mse_validation=335133360.782724
epoch=251, mse_train=828536643.743824, mse_validation=334989729.492605
epoch=252, mse_train=828224524.829711, mse_validation=334846725.842191
epoch=253, mse_train=827913775.388452, mse_validation=334704346.832797
epoch=254, mse_train=827604388.852954, mse_validation=334562589.481124
epoch=255, mse_train=827296358.689870, mse_validation=334421450.819177
epoch=256, mse_train=826989678.399424, mse_validation=334280927.894172
epoch=257, mse_train=826684341.515219, mse_validation=334141017.768465
epoch=258, mse_train=826380341.604046, mse_validation=334001717.519450
epoch=259, mse_train=826077672.265708, mse_validation=333863024.239488
epoch=260, mse_train=825776327.132831, mse_validation=333724935.035825
epoch=261, mse_train=825476299.870683, mse_validation=333587447.030502
epoch=262, mse_train=825177584.177005, mse_validation=333450557.360277
epoch=263, mse_train=824880173.781798, mse_validation=333314263.176544
epoch=264, mse_train=824584062.447194, mse_validation=333178561.645250
epoch=265, mse_train=824289243.967231, mse_validation=333043449.946817
epoch=266, mse_train=823995712.167699, mse_validation=332908925.276061
epoch=267, mse_train=823703460.905964, mse_validation=332774984.842112
epoch=268, mse_train=823412484.070799, mse_validation=332641625.868333
epoch=269, mse_train=823122775.582188, mse_validation=332508845.592250
epoch=270, mse_train=822834329.391174, mse_validation=332376641.265459
epoch=271, mse_train=822547139.479690, mse_validation=332245010.153563
epoch=272, mse_train=822261199.860370, mse_validation=332113949.536089
epoch=273, mse_train=821976504.576383, mse_validation=331983456.706411
epoch=274, mse_train=821693047.701295, mse_validation=331853528.971672
epoch=275, mse_train=821410823.338866, mse_validation=331724163.652712
epoch=276, mse_train=821129825.622888, mse_validation=331595358.083989
epoch=277, mse_train=820850048.717042, mse_validation=331467109.613512
epoch=278, mse_train=820571486.814716, mse_validation=331339415.602756
